name|phone num|rating|primary industry|genre|url|city|zipcode|state|address|borough|country|address remark
LobsterCraft NYC|(212) 465-0700|2.0 star rating|restaurant|American (New)SeafoodFood Trucks|/biz/lobstercraft-nyc-new-york|Midtown West|10119|NY|1 Penn PlzNew York, NY 10119|Manhattan|US|
Charley O’s Times Square Grill|(212) 246-1960|1.0 star rating|restaurant|American (Traditional)|/biz/charley-os-times-square-grill-manhattan|Theater District, Midtown West|10019|NY|1611 BroadwayManhattan, NY 10019|Manhattan|US|
Ethos Meze|(212) 686-0372|4.0 star rating|restaurant|MediterraneanGreekCocktail Bars|/adredir?ad_business_id=RVQrV8nXLf74yfJxZ31MuA&placement=above_search&redirect_url=http%3A%2F%2Fwww.yelp.com%2Fbiz%2Fethos-meze-new-york&request_id=c217759d51cfc238&signature=425d8c21ed24f000c97354fe0f4401cd8f29f9996dc928538b1b4b5bcb6759a5&slot=0|Midtown East, Murray Hill|10016|NY|542 3rd AveNew York, NY 10016|Manhattan|US|
Charley O’s|(212) 626-7303|1.5 star rating|restaurant|American (Traditional)|/biz/charley-os-new-york-2|Theater District, Hell's Kitchen, Midtown West|10036|NY|713 8th AveNew York, NY 10036|Manhattan|US|
TGI Friday’s|(212) 397-1723|1.5 star rating|restaurant|American (Traditional)|/biz/tgi-fridays-new-york|Midtown West|10020|NY|604 5th AveNew York, NY 10020|Manhattan|US|
Moe’s Southwestern Grill|(212) 575-7711|3.0 star rating|restaurant|MexicanFast Food|/biz/moes-southwestern-grill-new-york-2|Midtown West|10018|NY|1029A Ave of the AmericasNew York, NY 10018|Manhattan|US|
Kosher Delight|(212) 563-3366|2.0 star rating|restaurant|Fast FoodKosher|/biz/kosher-delight-new-york|Midtown West|10018|NY|1365 BroadwayNew York, NY 10018|Manhattan|US|
TGI Friday’s|(212) 767-8346|1.5 star rating|restaurant|American (Traditional)|/biz/tgi-fridays-new-york-4|Theater District, Midtown West|10019|NY|761 7th AveNew York, NY 10019|Manhattan|US|
TGI Fridays|(212) 767-8335|1.5 star rating|restaurant|American (Traditional)|/biz/tgi-fridays-manhattan|Midtown West|10020|NY|604 5th AveManhattan, NY 10020|Manhattan|US|
Sarabeth’s Restaurant in Lord and Taylor|(212) 827-5068|2.0 star rating|restaurant|Breakfast & Brunch|/biz/sarabeths-restaurant-in-lord-and-taylor-new-york|Midtown West|10018|NY|424 5th AveNew York, NY 10018|Manhattan|US|
Golden Krust Caribbean Bakery|(212) 967-7666|2.5 star rating|restaurant|Caribbean|/biz/golden-krust-caribbean-bakery-new-york-3|Hell's Kitchen, Midtown West|10018|NY|601 8th AveNew York, NY 10018|Manhattan|US|
Mr Broadway|(212) 921-2152|2.5 star rating|restaurant|KosherMediterraneanCaterers|/biz/mr-broadway-new-york|Midtown West|10018|NY|1372 BroadwayNew York, NY 10018|Manhattan|US|
A La Mode Oriental|(917) 345-5511|2.0 star rating|restaurant|Thai|/biz/a-la-mode-oriental-new-york|Midtown West|10019|NY|37 W 54th StNew York, NY 10019|Manhattan|US|
Smilers Delicatessan|(212) 704-0850|2.5 star rating|restaurant|FloristsDelis|/biz/smilers-delicatessan-new-york|Theater District, Midtown West|10036|NY|719 7th AveNew York, NY 10036|Manhattan|US|
Midtown Buffet|(212) 768-4422|1.5 star rating|restaurant|ChineseBuffets|/biz/midtown-buffet-new-york|Theater District, Midtown West|10018|NY|566 Fashion AveNew York, NY 10018|Manhattan|US|
Kuro-Obi||4.0 star rating|restaurant|Ramen|/biz/kuro-obi-new-york-2|Theater District, Midtown West|10036|NY|700 8th Ave At 44th StNew York, NY 10036|Manhattan|US|
Villa Pizza|(212) 302-2941|2.0 star rating|restaurant|PizzaFast Food|/biz/villa-pizza-new-york|Theater District, Midtown West|10036|NY|263 W 42nd StNew York, NY 10036|Manhattan|US|
Cafe Classico|(212) 355-5411|2.5 star rating|restaurant|Cafes|/biz/cafe-classico-new-york|Midtown West|10019|NY|35 W 57th StNew York, NY 10019|Manhattan|US|
TGI Friday’s|(212) 221-0193|1.5 star rating|restaurant|American (Traditional)American (New)|/biz/tgi-fridays-new-york-2|Theater District, Midtown West|10036|NY|1552 BroadwayNew York, NY 10036|Manhattan|US|
Cityhouse|(212) 247-8000|2.5 star rating|restaurant|Steakhouses|/biz/cityhouse-new-york|Midtown West|10019|NY|870 7th AveNew York, NY 10019|Manhattan|US|
T.G.I. Friday’s|(212) 630-0307|1.5 star rating|restaurant|American (Traditional)|/biz/t-g-i-fridays-new-york-4|Hell's Kitchen, Midtown West|10001|NY|484 8th AveNew York, NY 10001|Manhattan|US|
Lindys|(212) 630-0326|1.5 star rating|restaurant|BarsAmerican (Traditional)|/biz/lindys-new-york-2|Midtown West|10001|NY|401 7th AveNew York, NY 10001|Manhattan|US|
Cosi|(212) 947-1005|2.5 star rating|restaurant|Sandwiches|/biz/cosi-manhattan-2|Midtown West|10018|NY|498 7th AveManhattan, NY 10018|Manhattan|US|
Contorno’s Restaurant|(212) 760-0301|2.5 star rating|restaurant|ItalianBreakfast & BrunchDiners|/biz/contornos-restaurant-new-york|Koreatown, Midtown West|10001|NY|30 W 31st StNew York, NY 10001|Manhattan|US|
Cosi|(212) 947-1048|3.0 star rating|restaurant|Sandwiches|/biz/cosi-new-york-8|Midtown West|10018|NY|498 Fashion AveNew York, NY 10018|Manhattan|US|
A Slice of New York|(212) 399-9555|2.0 star rating|restaurant|Pizza|/biz/a-slice-of-new-york-new-york|Theater District, Hell's Kitchen, Midtown West|10036|NY|727 8th AveNew York, NY 10036|Manhattan|US|
Happy Family Chinese Restaurant|(212) 695-6035|2.0 star rating|restaurant|Chinese|/biz/happy-family-chinese-restaurant-new-york|Hell's Kitchen, Midtown West|10036|NY|500 W 43rd StNew York, NY 10036|Manhattan|US|
TGI Friday’s|(212) 630-0348|2.0 star rating|restaurant|American (Traditional)|/biz/tgi-fridays-new-york-12|Midtown West|10001|NY|2 Penn PlzNew York, NY 10001|Manhattan|US|
Times Deli|(212) 944-1234|2.5 star rating|restaurant|Delis|/biz/times-deli-new-york|Theater District, Midtown West|10036|NY|158 W 44th StNew York, NY 10036|Manhattan|US|
Liberty Diner|(212) 997-0001|2.0 star rating|restaurant|American (Traditional)Breakfast & BrunchDiners|/biz/liberty-diner-manhattan|Theater District, Midtown West|10036|NY|234 W 42nd StManhattan, NY 10036|Manhattan|US|
Bombay Masala|(212) 302-8150|2.5 star rating|restaurant|Indian|/biz/bombay-masala-new-york|Theater District, Midtown West|10019|NY|148 W 49th StNew York, NY 10019|Manhattan|US|
Sbarro|(212) 707-8214|2.5 star rating|restaurant|PizzaItalian|/biz/sbarro-new-york-14|Theater District, Midtown West|10019|NY|1606 BroadwayNew York, NY 10019|Manhattan|US|
Cafe Europa|(212) 557-2700|3.0 star rating|restaurant|Sandwiches|/biz/cafe-europa-new-york-2|Hell's Kitchen, Midtown West|10001|NY|555 E 46th StNew York, NY 10001|Manhattan|US|
