name|phone num|rating|primary industry|genre|url|city|zipcode|state|address|borough|country|address remark
Blimpie|(212) 509-2060||restaurant|Sandwiches|/biz/blimpie-new-york-14|Financial District|10005|NY|40 Exchange PlaceNew York, NY 10005|Manhattan|US|
Francisca Pizza & Bagels|(212) 477-1163|3.0 star rating|restaurant|BagelsPizza|/biz/francisca-pizza-and-bagels-new-york|Greenwich Village|10012|NY|140 W 4th StNew York, NY 10012|Manhattan|US|
Yomato|(212) 233-3915||restaurant|Restaurants|/biz/yomato-new-york|Financial District|10038|NY|64 Fulton Street Fl 2New York, NY 10038|Manhattan|US|
American Cafe Inc|(212) 732-1426|3.0 star rating|restaurant|Restaurants|/biz/american-cafe-inc-new-york|Financial District|10038|NY|160 BroadwayNew York, NY 10038|Manhattan|US|
On Rye Delicatessen|(212) 349-9300|3.5 star rating|restaurant|Delis|/biz/on-rye-delicatessen-new-york|Financial District|10038|NY|80 Beekman StNew York, NY 10038|Manhattan|US|
Bateaux New York|(866) 817-3463|4.0 star rating|restaurant|Boat ChartersToursVenues & Event Spaces|/adredir?ad_business_id=QeqhV5xVRCD15ivQiPc2MQ&placement=above_search&redirect_url=http%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbateaux-new-york-new-york&request_id=1509d0f451783f41&signature=2ab98a73a02547f069b4f800bb82cefd10a45dcd1376ca98689e4df452d7244e&slot=0||10011|NY|62 Chelsea PiersNew York, NY 10011|Manhattan|US|
Little Caesars Pizza|(212) 482-8280||restaurant|Pizza|/biz/little-caesars-pizza-new-york-4|Financial District|10038|NY|90 Maiden LnNew York, NY 10038|Manhattan|US|
94 Deli & Salad|(212) 566-6771|3.0 star rating|restaurant|SaladDelis|/biz/94-deli-and-salad-new-york|Financial District|10038|NY|94 Fulton StNew York, NY 10038|Manhattan|US|
Book Xchange|(212) 777-2665||restaurant|Pizza|/biz/book-xchange-new-york-2|Greenwich Village|10003|NY|813 BroadwayNew York, NY 10003|Manhattan|US|
Delions|(212) 260-3759|3.0 star rating|restaurant|DelisSandwiches|/biz/delions-new-york|Greenwich Village, NoHo|10003|NY|729 BroadwayNew York, NY 10003|Manhattan|US|
Michelle Market Inc|(212) 677-0047|4.0 star rating|restaurant|DelisSandwiches|/biz/michelle-market-inc-new-york-2|Greenwich Village|10003|NY|793 BroadwayNew York, NY 10003|Manhattan|US|
DomoDomo|||restaurant|Japanese|/biz/domodomo-new-york|Greenwich Village|10012|NY|138 W Houston StNew York, NY 10012|Manhattan|US|
Daily Soup|(212) 791-7687|3.5 star rating|restaurant|Soup|/biz/daily-soup-new-york-11|Financial District|10038|NY|41 John StNew York, NY 10038|Manhattan|US|
Sabena’s A Good Food Place|(212) 587-0505||restaurant|Restaurants|/biz/sabenas-a-good-food-place-new-york-3|Financial District|10038|NY|111 Nassau StreetNew York, NY 10038|Manhattan|US|
Hunan Royal Restaurant Inc|(212) 509-1699|2.5 star rating|restaurant|Restaurants|/biz/hunan-royal-restaurant-inc-new-york|Financial District|10038|NY|64 Fulton StNew York, NY 10038|Manhattan|US|
Express Line|(212) 227-9880||restaurant|Restaurants|/biz/express-line-new-york|Financial District|10038|NY|88 Fulton StreetNew York, NY 10038|Manhattan|US|
Corleone & Surich|(212) 931-9950||restaurant|Pizza|/biz/corleone-and-surich-new-york|Financial District|10038|NY|111 John StreetNew York, NY 10038|Manhattan|US|
75 Nassau St Restaurant Corp|(212) 732-9250||restaurant|Restaurants|/biz/75-nassau-st-restaurant-corp-new-york|Financial District|10038|NY|59 Nassau St BsmtNew York, NY 10038|Manhattan|US|
J & S Resources & Associates|(212) 422-4422|1.5 star rating|restaurant|LawyersRestaurants|/biz/j-and-s-resources-and-associates-new-york-2|Financial District|10004|NY|11 BroadwayNew York, NY 10004|Manhattan|US|
by Chloe|(212) 290-8000|2.0 star rating|restaurant|Vegan|/biz/by-chloe-new-york|Greenwich Village|10012|NY|185 Bleecker StNew York, NY 10012|Manhattan|US|
Soho Japanese|(212) 777-2223|3.5 star rating|restaurant|Sushi Bars|/biz/soho-japanese-new-york|Greenwich Village|10012|NY|231 Sullivan StNew York, NY 10012|Manhattan|US|
Petra Cafe|(212) 388-9700||restaurant|Cafes|/biz/petra-cafe-new-york|Greenwich Village|10012|NY|128 Macdougal StNew York, NY 10012|Manhattan|US|
Cafe Arabica|(212) 777-2908||restaurant|Restaurants|/biz/cafe-arabica-new-york|Greenwich Village|10003|NY|60 E 10th StNew York, NY 10003|Manhattan|US|
Riverside Cafe & Market Place|(212) 747-9111||restaurant|JapaneseAmerican (New)Convenience Stores|/biz/riverside-cafe-and-market-place-new-york|Financial District|10004|NY|46 Water StNew York, NY 10004|Manhattan|US|
Butterfly Grill|(212) 505-2205||restaurant|Restaurants|/biz/butterfly-grill-new-york|Greenwich Village|10012|NY|189 Bleecker StNew York, NY 10012|Manhattan|US|
Hong Kong|(212) 924-5680|4.0 star rating|restaurant|ChineseAsian Fusion|/biz/hong-kong-new-york|Greenwich Village|10011|NY|78 5th AveNew York, NY 10011|Manhattan|US|
Baoguette|(212) 233-3400|4.0 star rating|restaurant|Restaurants|/biz/baoguette-new-york-9|Financial District|10038|NY|9 Maiden LnNew York, NY 10038|Manhattan|US|
Wolf’s Delicatessen & Restaurant|(212) 406-6900||restaurant|Restaurants|/biz/wolfs-delicatessen-and-restaurant-new-york-2|Financial District|10038|NY|80 Beekman StreetNew York, NY 10038|Manhattan|US|
New Hing Wah Ny Inc|(212) 349-0515||restaurant|Restaurants|/biz/new-hing-wah-ny-inc-new-york|Financial District|10038|NY|150 Fulton St LowrNew York, NY 10038|Manhattan|US|
La Borsa Di Roma Restaurant|(212) 269-6180||restaurant|Restaurants|/biz/la-borsa-di-roma-restaurant-new-york|Financial District|10038|NY|215 Pearl StreetNew York, NY 10038|Manhattan|US|
Levantine-Olive Tree Cafe|(212) 777-8596||restaurant|Restaurants|/biz/levantine-olive-tree-cafe-new-york|Greenwich Village|10012|NY|117 MacDougal StreetNew York, NY 10012|Manhattan|US|
Indigo Resturant|(212) 691-7757||restaurant|Restaurants|/biz/indigo-resturant-new-york|Financial District|10014|NY|142 W 10th St FrntNew York, NY 10014|Manhattan|US|
La Boheme Restaurant|(212) 473-6447||restaurant|Restaurants|/biz/la-boheme-restaurant-new-york|Greenwich Village|10012|NY|24 Minetta LaneNew York, NY 10012|Manhattan|US|
Har & Lee|(212) 269-0040||restaurant|Restaurants|/biz/har-and-lee-new-york|Financial District|10004|NY|69 New StreetNew York, NY 10004|Manhattan|US|
Pietrasanta|(212) 693-2600|4.0 star rating|restaurant|American (New)|/biz/pietrasanta-new-york-2|Financial District|10038|NY|88 Fulton StNew York, NY 10038|Manhattan|US|
Marketplace Cafe|(212) 420-1212||restaurant|American (New)Fast FoodSandwiches|/biz/marketplace-cafe-new-york|Greenwich Village|10011|NY|394 6th AveNew York, NY 10011|Manhattan|US|
Wali Foods Inc|(212) 269-0390|3.5 star rating|restaurant|DelisSandwiches|/biz/wali-foods-inc-new-york|Financial District|10004|NY|28 Water StNew York, NY 10004|Manhattan|US|
Campus Diner|(212) 674-0608||restaurant|Restaurants|/biz/campus-diner-new-york|Greenwich Village|10003|NY|19 Waverly PlaceNew York, NY 10003|Manhattan|US|
Teriyaki Boy|(212) 385-8585|2.5 star rating|restaurant|Chinese|/biz/teriyaki-boy-new-york-4|Financial District|10038|NY|22 Maiden LnNew York, NY 10038|Manhattan|US|
Neapolitan Express|(212) 289-4689||restaurant|PizzaFood Trucks|/biz/neapolitan-express-new-york-3|Financial District|10005|NY|40 Wall StNew York, NY 10005|Manhattan|US|
Nassau St Food Corp|(212) 732-9032||restaurant|Restaurants|/biz/nassau-st-food-corp-new-york|Financial District|10038|NY|118 Fulton StNew York, NY 10038|Manhattan|US|
168 Restaurant|(212) 791-6717||restaurant|Restaurants|/biz/168-restaurant-new-york|Financial District|10038|NY|136 William StreetNew York, NY 10038|Manhattan|US|
William Street Food Court|(212) 284-0032||restaurant|Restaurants|/biz/william-street-food-court-new-york|Financial District|10038|NY|123 William StreetNew York, NY 10038|Manhattan|US|
J Br III Corporation|(212) 248-2777||restaurant|Restaurants|/biz/j-br-iii-corporation-new-york|Financial District|10004|NY|40 Water StreetNew York, NY 10004|Manhattan|US|
Soups Etc I|(212) 269-5777||restaurant|Restaurants|/biz/soups-etc-i-new-york|Financial District|10004|NY|77 Pearl StreetNew York, NY 10004|Manhattan|US|
Vrunda Food|(568) 562-5565||restaurant|American (Traditional)|/biz/vrunda-food-new-york|Financial District|10004|NY|3 New York PlzNew York, NY 10004|Manhattan|US|
Kat’s Hot Dogs|(917) 456-6646||restaurant|Hot Dogs|/biz/kats-hot-dogs-new-york|Financial District|10005|NY|100 BroadwayNew York, NY 10005|Manhattan|US|
It SA Pizzeria|(212) 964-0999|4.0 star rating|restaurant|Pizza|/biz/it-sa-pizzeria-new-york-2|Financial District|10038|NY|20 John StNew York, NY 10038|Manhattan|US|
Greenwich Brewing Co|(212) 477-0996||restaurant|Pizza|/biz/greenwich-brewing-co-new-york-2|Greenwich Village|10011|NY|418 Avenue of the AmericasNew York, NY 10011|Manhattan|US|
Hero’s Restaurant Inc|(646) 336-1685|4.0 star rating|restaurant|Restaurants|/biz/heros-restaurant-inc-new-york|Union Square, Greenwich Village|10003|NY|30 E 13th StNew York, NY 10003|Manhattan|US|
Yokohama|(212) 228-1679||restaurant|Restaurants|/biz/yokohama-new-york|Greenwich Village|10012|NY|174 Bleecker StreetNew York, NY 10012|Manhattan|US|
